Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2/8/2010,3.713938603,3.808107697,3.645034318,3.718532324,44516000,0,0
2/9/2010,3.778248084,3.796622525,3.651923423,3.688672304,93014400,0,0
2/10/2010,3.71164092,3.794326131,3.686375897,3.759874105,53582800,0,0
2/11/2010,3.819589981,3.973476072,3.792028541,3.932133913,69598000,0,0
2/12/2010,3.904573385,4.065350111,3.860933913,3.984961748,78021200,0,0
2/16/2010,4.037787977,4.074536866,3.989555225,4.058459282,45702400,0,0
2/17/2010,4.108988478,4.111285338,3.980367381,4.097504616,87656000,0,0
2/18/2010,3.872416769,3.893088067,3.723123963,3.828777313,151550800,0,0
2/19/2010,3.812700381,3.854042984,3.789732219,3.808106661,51054800,0,0
2/22/2010,3.824184676,3.881604868,3.789732649,3.814997673,45808400,0,0
2/23/2010,3.82648052,3.842558099,3.684078728,3.723124027,48976400,0,0
2/24/2010,3.755279298,3.837964046,3.743795,3.801215172,44586800,0,0
2/25/2010,3.713936992,3.775950887,3.619767939,3.766763449,57697200,0,0
2/26/2010,3.748389979,3.775951864,3.697860369,3.720828533,39339600,0,0
3/1/2010,3.723124555,3.888494967,3.693266252,3.870120525,55586800,0,0
3/2/2010,3.904572243,3.952804983,3.840261483,3.867823362,53864800,0,0
3/3/2010,3.890791914,3.911463216,3.787435405,3.819590569,39930000,0,0
3/4/2010,3.835667827,3.865526125,3.778247652,3.826480389,55739600,0,0
3/5/2010,3.798920314,3.971180899,3.798920314,3.943619013,63283200,0,0
3/8/2010,3.945914119,3.957397978,3.870119513,3.88619709,43931200,0,0
3/9/2010,3.925242809,4.069941443,3.922945949,4.03089571,83083200,0,0
3/10/2010,4.019413534,4.083724308,4.017116674,4.040084839,41852000,0,0
3/11/2010,4.007929919,4.021710644,3.932135277,3.948212862,54066000,0,0
3/12/2010,3.991850804,4.003335103,3.941321202,3.961992502,52035200,0,0
3/15/2010,3.957399672,3.996445422,3.904573199,3.941322088,35890400,0,0
3/16/2010,3.939024315,4.102097856,3.936727455,4.079129696,66498800,0,0
3/17/2010,4.102096583,4.212343191,4.102096583,4.157219887,65116800,0,0
3/18/2010,4.164111896,4.164111896,3.973476887,4.010225773,74096400,0,0
3/19/2010,4.069942285,4.081426584,3.9114629,3.961992502,58461200,0,0
3/22/2010,3.911462465,4.042380393,3.911462465,4.026302814,43533600,0,0
3/23/2010,4.056160879,4.129658628,4.028599442,4.108987331,49361200,0,0
3/24/2010,4.074535537,4.086019835,3.964288907,3.971179485,43625200,0,0
3/25/2010,4.028599467,4.053864045,3.973475717,3.982663155,49518400,0,0
3/26/2010,4.01711517,4.058457764,3.950507999,3.982663155,34467600,0,0
3/29/2010,4.007929953,4.042381984,3.952806178,4.033194542,39445600,0,0
3/30/2010,4.079129847,4.099801148,3.980367062,4.049271107,32410400,0,0
3/31/2010,4.033193585,4.051568026,3.975773401,3.996444702,38984000,0,0
4/1/2010,4.014818524,4.06075484,3.913759332,3.95510149,33966400,0,0
4/5/2010,3.98036665,4.021709247,3.975772931,4.014818668,41363600,0,0
4/6/2010,3.964289577,3.973476579,3.847152349,3.916056395,80926000,0,0
4/7/2010,3.890792475,4.007929724,3.858636869,3.941322088,81746800,0,0
4/8/2010,3.916056567,3.945915309,3.856339958,3.877010822,103760000,0,0
4/9/2010,3.86782354,3.916056283,3.847152239,3.902275562,81757200,0,0
4/12/2010,3.906866648,3.989551796,3.899976073,3.973473787,54646000,0,0
4/13/2010,3.989554693,4.069942602,3.973476673,4.05616188,64869600,0,0
4/14/2010,4.1434402,4.164111061,4.042380565,4.106690884,90072000,0,0
4/15/2010,4.120474269,4.161816889,4.079131649,4.136551857,95759600,0,0
4/16/2010,3.968884087,3.984961672,3.83107553,3.918354034,191773600,0,0
4/19/2010,3.888494301,3.911462459,3.769060233,3.899978161,109449200,0,0
4/20/2010,3.927540668,3.968883271,3.863229905,3.913759947,67818800,0,0
4/21/2010,3.934430288,3.939024007,3.766763478,3.812699795,89590800,0,0
4/22/2010,3.75068584,3.840261173,3.697859383,3.828777313,65693200,0,0
4/23/2010,3.817293747,3.826480748,3.709343528,3.775951147,75291600,0,0
4/26/2010,3.780544198,3.858635673,3.773654057,3.812699795,49109200,0,0
4/27/2010,3.785137675,3.82418341,3.693265486,3.704749346,60670400,0,0
4/28/2010,3.702454071,3.764467543,3.635846439,3.711641073,67216400,0,0
4/29/2010,3.723124532,3.828777899,3.668001427,3.824184179,98712800,0,0
4/30/2010,3.778248639,3.785138781,3.605987852,3.608284712,106804800,0,0
5/3/2010,3.626658847,3.647330149,3.514115338,3.569238663,107897200,0,0
5/4/2010,3.514115122,3.521005482,3.337260859,3.38779068,131137600,0,0
5/5/2010,3.318886584,3.41535251,3.289028062,3.330370665,133084000,0,0
5/6/2010,3.307402124,3.376306381,2.995036439,3.261466026,100288800,0,0
5/7/2010,3.291324778,3.291324778,3.091502573,3.206342936,115371200,0,0
5/10/2010,3.399275061,3.440617446,3.307402632,3.344151735,97915600,0,0
5/11/2010,3.311996331,3.374010017,3.282137808,3.307402611,82912400,0,0
5/12/2010,3.330370325,3.390087362,3.309699026,3.371712923,90123600,0,0
5/13/2010,3.357932028,3.511818124,3.332667228,3.364822388,125200000,0,0
5/14/2010,3.137439123,3.146626344,2.893977642,2.976662636,249306800,0,0
5/17/2010,2.981256073,3.020301818,2.889383859,2.983552933,85606000,0,0
5/18/2010,3.008817275,3.027191714,2.868711907,2.884789705,67411200,0,0
5/19/2010,2.871009478,2.935320029,2.850338175,2.930726528,82652000,0,0
5/20/2010,2.845744783,2.930726641,2.758466065,2.861822367,112913600,0,0
5/21/2010,2.779135946,3.004222877,2.779135946,2.923834562,106960000,0,0
5/24/2010,2.914648217,2.949100456,2.829666378,2.838853598,66456400,0,0
